MMSI,MMSI_String,ShipName,latitude,longitude,time_utc,Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,port
366857070,366857070,JET CAT EXPRESS     ,33.76302,-118.19926833333334,2025-07-13T11:32:01.207714+00:00,229.4,85962,33.76302,-118.19926833333334,3,5,False,True,-128,0,0.0,0,0,0,511,366857070,True,los_angeles
311001625,311001625,SAGA ODYSSEY        ,33.73471,-118.15070833333333,2025-07-13T11:32:01.601918+00:00,215.7,0,33.73471,-118.15070833333333,3,1,False,False,0,0,0.0,0,0,58,277,311001625,True,los_angeles
367124980,367124980,BEN CHERAMIE        ,33.73449,-118.27072666666666,2025-07-13T11:32:02.058425+00:00,218.2,49316,33.73449,-118.27072666666666,1,0,True,True,-128,0,0.0,0,0,1,511,367124980,True,los_angeles
368375410,368375410,METS-3              ,33.76347,-118.26037333333333,2025-07-13T11:32:03.295304+00:00,360.0,49286,33.76347,-118.26037333333333,1,0,True,True,0,0,0.0,0,0,1,175,368375410,True,los_angeles
367401030,367401030,DELTA BILLIE        ,33.75584666666666,-118.21521333333334,2025-07-13T11:32:04.765281+00:00,165.7,138160,33.75584666666666,-118.21521333333334,3,0,False,False,127,0,3.7,0,0,48,159,367401030,True,los_angeles
338926431,338926431,CGC TERRELL HORNE,33.72499333333334,-118.26926833333333,2025-07-13T11:32:05.543725+00:00,65.0,85642,33.72499333333334,-118.26926833333333,3,5,True,False,0,0,0.0,0,0,3,161,338926431,True,los_angeles
636025233,636025233,VOLARE              ,33.73023666666667,-118.22804333333333,2025-07-13T11:32:06.845863+00:00,271.5,84938,33.73023666666667,-118.22804333333333,3,1,True,False,0,0,0.0,0,0,5,183,636025233,True,los_angeles
367330510,367330510,PATRICIA ANN,33.75721,-118.27588999999999,2025-07-13T11:32:07.207410+00:00,157.4,4288,33.75721,-118.27588999999999,3,0,True,True,127,0,3.0,0,0,6,148,367330510,True,los_angeles
366926740,366926740,TIM QUIGG,33.76365,-118.25703333333333,2025-07-13T11:32:07.302918+00:00,214.2,22144,33.76365,-118.25703333333333,1,0,False,False,0,0,0.0,0,0,7,205,366926740,True,los_angeles
367395280,367395280,CLEAN OCEAN         ,33.73191666666666,-118.26424999999999,2025-07-13T11:32:08.150249+00:00,233.7,2251,33.73191666666666,-118.26424999999999,1,0,False,False,0,0,0.0,0,0,7,219,367395280,True,los_angeles
